1 (modern family);2 (over the garden);3 (sponge bob);4 (simpsons)
0.3054054054054054;0.547979797979798;0.4938488576449912;0.4931237721021611
0.6393805309734514;0.48785425101214575;0.4015151515151515;0.49493243243243246
0.6340996168582376;0.47904191616766467;0.41533546325878595;0.26
0.7639257294429708;0.7129337539432177;0.7348148148148148;0.28637770897832815
0.3914590747330961;0.5090497737556561;0.38671875;0.3842364532019704
0.47480916030534354;0.48148148148148145;0.36231884057971014;0.5732368896925859
0.26997578692493945;0.3206751054852321;0.6039279869067103;0.5417322834645669
0.29963459196102316;0.33058984910836764;0.6654970760233918;0.6795422031473534
0.6046065259117083;0.4787018255578093;0.5217391304347826;0.4061433447098976
0.4560862865947612;0.43703703703703706;0.5379310344827586;0.5434027777777778
0.5164051355206848;0.5441640378548895;0.5475409836065573;0.4717948717948718
0.49312714776632305;0.3333333333333333;0.4450354609929078;0.5330188679245284
0.3670886075949367;0.32416787264833574;0.3932748538011696;0.4342105263157895
0.2594086021505376;0.29515418502202645;0.29638854296388545;0.27802690582959644
0.6602739726027397;0.4106280193236715;0.5195729537366548;0.46742671009771986
0.4540337711069418;0.58004158004158;0.6214953271028038;0.381139489194499
0.5763440860215053;0.5082304526748971;0.4227353463587922;0.3792517006802721
