section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,1,1716212049700356707,1716212049968349707,267,555.324,450.658,-1.3349989385321825,6.746319227084708
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,2,1716212049996364707,1716212050492498707,496,478.755,460.304,-7.15426178972733,5.998853458822279
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,3,1716212050544467707,1716212051360416707,815,657.908,483.74,6.457877483782794,4.231096808200661
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,4,1716212051400683707,1716212051600419707,199,522.301,470.844,-3.8413293002918447,5.212031638578967
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,5,1716212051620389707,1716212052000428707,380,489.386,460.163,-6.346519219891452,6.01298913416602
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,6,1716212052048417707,1716212052368427707,320,627.514,498.452,4.145616120647729,3.121117958894043
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,7,1716212052396463707,1716212053056426707,659,601.305,450.641,2.1656462805327115,6.747544438306461
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,8,1716212053192410707,1716212053320417707,128,597.885,476.973,1.9002761049705876,4.751343717817556
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,9,1716212053360463707,1716212053612436707,251,552.292,578.628,-1.5604115720411953,-2.954545592266661
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,10,1716212053660425707,1716212053857091707,196,647.453,582.249,5.65857669539076,-3.2246302162481295
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,11,1716212053896432707,1716212053968443707,72,641.216,480.135,5.191284545184624,4.507003330116418
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,12,1716212053996426707,1716212056104484707,2108,638.097,446.191,4.970127207466083,7.078610416902164
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,13,1716212056148436707,1716212056456999707,308,541.557,430.309,-2.3880870532843,8.287251282966102
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,14,1716212056512444707,1716212056872422707,359,694.591,467.196,9.256671152630316,5.471771025956719
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,15,1716212056920427707,1716212057160399707,239,635.613,572.798,4.758072698001496,-2.5105018181229797
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,16,1716212057196453707,1716212057316425707,119,708.669,569.041,10.299749504237184,-2.2162679359182764
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,17,1716212057369303707,1716212059460374707,2091,641.328,456.09,5.2107819049395,6.328067097761896
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,18,1716212059520664707,1716212059760476707,239,589.498,575.852,1.2608776145635106,-2.7445488473196913
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,19,1716212059784960707,1716212059960394707,175,552.951,577.124,-1.5104340802811378,-2.840576545065359
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,20,1716212059980401707,1716212060048417707,68,580.844,577.215,0.6046234040965061,-2.847990134974654
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,21,1716212060088389707,1716212060332585707,244,656.716,576.265,6.359840643401724,-2.7705636458625986
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,22,1716212060360462707,1716212060660444707,299,714.541,581.221,10.750648697575395,-3.133348964845476
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,23,1716212060712404707,1716212061496416707,784,657.131,470.139,6.4054560866879315,5.260576820252245
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,24,1716212061520341707,1716212062404418707,884,682.422,478.688,8.323157977654146,4.607411918557319
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,25,1716212062444451707,1716212063784531707,1340,598.125,452.967,1.9229559393526532,6.571472508344217
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,26,1716212063828446707,1716212064344420707,515,599.896,566.71,2.048684338224599,-2.0513384941608828
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,27,1716212064392396707,1716212064564603707,172,612.4,489.999,3.0002563455078137,3.762940703116946
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,28,1716212064604431707,1716212064780425707,175,689.805,577.969,8.871420601357283,-2.8937005995112224
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,29,1716212064832560707,1716212066076456707,1243,611.376,481.095,2.92426855483923,4.437918804920635
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,30,1716212066096437707,1716212067624437707,1528,623.186,489.488,3.8191329618887475,3.800754960674147
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,31,1716212067676428707,1716212068060445707,384,578.484,624.017,0.42765162147267305,-6.395188262782366
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,32,1716212068100561707,1716212068280435707,179,651.612,617.13,5.988984673476881,-5.863457625970142
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,33,1716212068312481707,1716212068732406707,419,681.14,618.366,8.236421137744891,-5.947491648451007
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,34,1716212068760451707,1716212068940462707,180,726.637,624.288,11.706092556074035,-6.372711683077251
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,35,1716212068988500707,1716212069168459707,179,725.878,534.55,11.600577448548469,0.38493113795111006
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,36,1716212069196480707,1716212069628395707,431,665.273,520.451,7.005566486406384,1.4524132611251406
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,37,1716212069676439707,1716212069832550707,156,549.175,652.11,-1.8070718133914263,-8.521937879506908
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,38,1716212069852420707,1716212069992621707,140,574.885,638.741,0.15441750066436957,-7.510972137750973
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,39,1716212070032449707,1716212070232460707,200,534.216,528.003,-2.9288662944415194,0.8823380571362391
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,40,1716212070300437707,1716212070424452707,124,689.317,554.389,8.828103504098697,-1.1129339531321407
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,41,1716212070460470707,1716212070732434707,271,731.056,613.065,12.030208978396683,-5.525510859673632
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,42,1716212070788427707,1716212071100449707,312,671.307,657.357,7.5223317347004945,-8.89793911404319
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,43,1716212071128427707,1716212071428423707,299,720.653,649.555,11.282812703422119,-8.279258859577407
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,44,1716212071448439707,1716212072040398707,591,715.909,604.439,10.870039643628495,-4.882862055647756
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,45,1716212072072381707,1716212072432357707,359,660.84,610.157,6.686901183651985,-5.333515228201356
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,46,1716212072468458707,1716212072740349707,271,662.334,545.579,6.781046019345736,-0.4484462816320463
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,47,1716212072792343707,1716212073040370707,248,557.058,516.93,-1.1985760545555146,1.7220700681439685
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,48,1716212073088371707,1716212073236632707,148,548.049,624.214,-1.887609681755759,-6.408468676205282
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,49,1716212073272381707,1716212073376366707,103,607.854,620.051,2.661379915422116,-6.092961619186651
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,50,1716212073416377707,1716212073688384707,272,599.043,538.641,1.9832121404797391,0.07626808020558325
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,51,1716212073744726707,1716212073888407707,143,562.083,655.465,-0.822316929335557,-8.77759688398628
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,52,1716212073916438707,1716212074092413707,175,603.185,631.482,2.3090299337983984,-6.95955794976737
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,53,1716212074124425707,1716212074472421707,347,671.935,618.683,7.536185965959207,-5.9747607154636535
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,54,1716212074512382707,1716212075168387707,656,653.297,539.07,6.095811781028525,0.04388030325958743
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,55,1716212075196467707,1716212075712344707,515,709.434,540.728,10.352886596008968,-0.08074554221985719
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,56,1716212075736457707,1716212076000388707,263,677.727,508.448,7.953098970966183,2.358847175195233
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,57,1716212076052538707,1716212076356610707,304,558.73,508.685,-1.072114160480367,2.347198999527802
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,58,1716212076408380707,1716212076568374707,159,667.577,529.695,7.179074502935769,0.7530464904869631
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,59,1716212076592412707,1716212076812364707,219,718.774,526.022,11.062784740106883,1.0278520584076218
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,60,1716212076856415707,1716212077476618707,620,613.833,515.943,3.1053169741143347,1.7965008854560218
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,61,1716212077512395707,1716212077880442707,368,585.759,626.435,0.9814409122173658,-6.578312073041809
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,62,1716212077908430707,1716212078020388707,111,604.591,567.228,2.4047217448526825,-2.0904447530494203
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,63,1716212078048440707,1716212078408414707,359,638.184,523.682,4.950875746469005,1.2092481875813847
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,64,1716212078428387707,1716212079008392707,580,669.294,528.068,7.309402109556603,0.8760472140230756
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,65,1716212079048496707,1716212079248383707,199,586.475,611.668,1.0343039043412892,-5.45921436819877
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,66,1716212079276376707,1716212079372481707,96,580.728,632.792,0.5991184642286336,-7.060163043367577
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,67,1716212079556449707,1716212079784447707,227,635.767,514.197,4.768818415437556,1.9277631867126728
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,68,1716212079804407707,1716212080348376707,543,661.574,545.154,6.723431438661815,-0.4162936566899626
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,69,1716212080409165707,1716212080696433707,287,600.241,663.078,2.0938435507454614,-9.353605634730572
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,70,1716212080740523707,1716212081076415707,335,653.078,579.064,6.084534003870333,-2.9828640243818976
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,71,1716212081116508707,1716212081288404707,171,671.9,682.222,7.597048969559238,-10.776592354563022
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,72,1716212081328384707,1716212082368399707,1040,672.367,584.683,7.550393812518687,-3.404527444978497
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,73,1716212082396409707,1716212082528371707,131,739.447,589.879,12.647787587595701,-3.777332487417706
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,74,1716212082588379707,1716212082896409707,308,706.005,708.454,10.264384029759169,-12.729790675532072
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,75,1716212082928431707,1716212083104496707,176,643.599,712.457,5.457719403926976,-13.078844114434892
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,76,1716212083152375707,1716212084056376707,904,613.13,590.369,3.0555316285351233,-3.8435753001046504
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,77,1716212084112412707,1716212084296376707,183,568.878,717.728,-0.3046479259788887,-13.49496584732211
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,78,1716212084336364707,1716212085544381707,1208,607.792,639.374,2.6623586173057774,-7.556892078397964
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,79,1716212085580407707,1716212085800393707,219,589.485,540.532,1.2588014646731638,-0.06714129827624862
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,80,1716212085860410707,1716212086140381707,279,699.446,641.555,9.653430772735337,-7.689612288939282
c8b44ab7-a08c-4a5e-8c2e-0c149ebe61f7,b7581686-4b91-4d7e-98f8-7f64b851fe32,81,1716212086168387707,1716212086480402707,312,649.297,608.63,5.808578264756682,-5.220878090790656
