section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,1,1715619087637966398,1715619088553969398,916,677.078,522.426,7.900518689732727,1.3022603778347699
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,2,1715619088681995398,1715619089062221398,380,636.499,501.19,4.826838289836336,2.9128473096052763
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,3,1715619089097961398,1715619089506040398,408,568.852,504.741,-0.30474935732131764,2.646362739487721
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,4,1715619089614011398,1715619090541966398,927,561.222,500.625,-0.8834342307078437,2.958314356451805
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,5,1715619090666030398,1715619090769975398,103,570.543,500.376,-0.176555357799087,2.977355404940428
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,6,1715619090809991398,1715619091250016398,440,633.843,490.03,4.628046961893779,3.7585254047944257
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,7,1715619091345978398,1715619091445973398,99,688.649,766.675,9.053704990337248,-17.14052284577476
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,8,1715619091481986398,1715619091602004398,120,634.372,772.683,4.819539476744042,-17.642036424007244
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,9,1715619091641957398,1715619091858020398,216,564.223,755.458,-0.6680387992536586,-16.352771927871466
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,10,1715619091898594398,1715619092137954398,239,480.977,765.111,-7.165133843642616,-17.037035865682586
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,11,1715619092177963398,1715619092293990398,116,595.63,761.206,1.7808951523449748,-16.787629326036306
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,12,1715619092502038398,1715619092978074398,476,656.663,511.352,6.354262096307902,2.141560099792783
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,13,1715619093006062398,1715619094253965398,1247,740.25,518.883,12.694303941651778,1.563325330255882
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,14,1715619094393955398,1715619095421985398,1028,622.957,514.35,3.797334100384385,1.9168068198084256
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,15,1715619095494010398,1715619096601976398,1107,643.173,524.735,5.329079416676285,1.1293077720360003
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,16,1715619096701966398,1715619096966012398,264,489.632,774.55,-6.506702688988665,-17.758801576323485
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,17,1715619096993978398,1715619097178022398,184,420.235,746.906,-11.84526602324381,-15.589492416597816
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,18,1715619097214025398,1715619097365969398,151,481.467,757.584,-7.11284709478193,-16.468818168813133
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,19,1715619097417967398,1715619097525965398,107,632.296,770.672,4.654258856821249,-17.490979630086123
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,20,1715619097641972398,1715619097813995398,172,676.323,770.838,8.099728104397126,-17.468251133817805
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,21,1715619097846070398,1715619098033984398,187,734.386,753.366,12.584739153498052,-16.07718817108399
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,22,1715619098133956398,1715619098349965398,216,671.226,554.877,7.45609026429518,-1.1512292623529807
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,23,1715619098369954398,1715619099213997398,844,676.349,524.781,7.844829024418397,1.1242527197895364
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,24,1715619099262028398,1715619099498022398,235,539.099,502.712,-2.5607076302062266,2.7990863035621922
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,25,1715619099517980398,1715619100437969398,919,500.403,527.211,-5.489841532898079,0.9413858364402193
c8c52c82-afcf-4ce0-bbaf-0527c06440ac,9516c9a1-920a-491a-98dc-6319994715b3,26,1715619100457932398,1715619100641969398,184,535.279,535.372,-2.848100707699059,0.3239110958444372
